ID_star,ID_system,Name,GJ,Karmn,RA_J2016,DE_J2016,SpT,SpTnum,SpT_ref,Type,Class,Component,System,SB,SB_ref,Discoverer,Group,Group_ref,Nplanet,Planet_ref,Category,Remarks,WDS_id,WDS_comp,WDS_obs1,WDS_obs2,WDS_nobs,WDS_pa2,WDS_sep2,WDS_mag1,WDS_mag2,s01,rho01,theta01,s01_ref,s02,rho02,theta02,muratio,deltaPA,deltad,M_Msol,eM_Msol,R_Rsol,eR_Rsol,MR_ref,L_Lsol,eL_Lsol,L_ref,MG_mag,eMG_mag,Teff_K,eTeff_K,Teff_ref,logg,elogg,Fe_H,Fe_H_ref,q,P01,eP01,P01_ref,P02,eP02,Ug_J,eUg_J,crit_ruwe,crit_ipd_ruwe,crit_rv,crit_rv_error,crit_ipd_fmp,crit_dupl_source,crit_non_single,crit_DR3_non_single,Candidate,GaiaDR3_id,2MASS_id,AllWISE_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_ref,pmra,pmra_error,pmdec,pmdec_error,pm_ref,rv,rv_error,rv_ref,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,phot_bp_rp_excess_factor,phot_bp_n_blended_transits,phot_rp_n_blended_transits,phot_variable_flag,rv_chisq_pvalue,rv_amplitude_robust,rv_nb_transits,rv_renormalised_gof,astrometric_n_obs_al,astrometric_n_good_obs_al,ipd_gof_harmonic_amplitude,ipd_frac_multi_peak,duplicated_source,BP_mag,eBP_mag,G_mag,eG_mag,RP_mag,eRP_mag,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,Qf_2M,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Qf_W
177,47,EX Cet,,,01:37:35.65,-06:45:39.1,K0.5 V,60.5,Hou99,Multiple,Double,A,A+B,,,,Ple/beta Pic,See secondary,0,,3,The reported L0 companion (5.587 arcsec) from lucky imaging (Ber10) is optical,,,,,,,,,,,,,,,,,,,,0.8800,0.1320,0.8130,0.1220,Pec13,0.4565067600,0.0017603541,This work,5.5591,0.0031,5300,50,This work,4.50,0.25,-0.06,Zak22,,,,,,,,,false,false,false,false,false,false,0,,false,2477815222028038272,01373545-0645375,J013735.57-064538.5,24.398547155959200,0.018963225185871100,-6.760861184078480,0.012839254923164800,41.56362142958950,0.02377921,DR3,171.7982428481430,0.028519247,-98.1452316742261,0.015475977,DR3,11.4593315,0.122448325,DR3,0.9679045,0.1216040775179860,11.264376640319800,1.2140001,0,0,VARIABLE,0.51687145,0.73221684,23,-0.70460474,341,340,0.005921780597418550,0,false,7.8654,0.0030,7.4655,0.0028,6.8945,0.0039,6.225,0.024,5.899,0.036,5.753,0.018,AAA,5.772,0.130,5.673,0.048,5.778,0.014,5.569,0.039,BAAA
178,47,LP 648-20,,J01369-067,01:36:55.36,-06:47:39.6,M3.5 V,73.5,Shk09,Multiple,Double,B,,,,CAB 3,Ple/beta Pic,Alo15b/Gag18a/Shk12,0,,2,BRG 5 BC and BWL 7 BD are optical,01376-0645,AB,1953,2016,8,258.60,612.075,7.75,14.0,14678.4401,612.0752,258.64,,,,,0.0136,0.1388,0.0033,0.3223,0.0144,0.3282,0.0103,This work,0.0101785370,0.0000609662,This work,10.8096,0.0041,3200,50,This work,4.50,0.25,,n/a,0.3663,,,,1621891,89562,3.409E+34,5.335E+33,false,false,false,false,false,false,0,,false,2478001486169801216,01365516-0647379,J013655.29-064739.1,24.230680617429500,0.035153016448020900,-6.794333571507650,0.024303989484906200,41.69892726044640,0.044565305,DR3,173.89301818462500,0.044706125,-99.90145357695320,0.026699057,DR3,12.77,0.064,Fou18,1.7081861,0.29023823142051700,79.95012664794920,1.4814477,1,1,NOT_AVAILABLE,,,,,310,309,0.022474246099591300,1,false,14.3469,0.0113,12.7090,0.0034,11.4673,0.0057,9.707,0.022,9.137,0.026,8.862,0.021,AAA,8.703,0.022,8.529,0.020,8.395,0.021,8.276,0.241,AAAB
179,0,TYC 4031-2527-1,,J01373+610,01:37:21.44,+61:05:27.6,M1.5 V,71.5,Lep13,Candidate,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.6596,0.0264,0.6268,0.0119,This work,0.1011445800,0.0012789558,This work,7.8690,0.0087,3600,50,This work,5.50,0.25,,n/a,,,,,,,,,true,false,false,false,false,false,0,,true,509925734600845056,01372145+6105286,J013721.44+610527.9,24.33933333647410,0.048145145177841200,61.09098999331240,0.05691447854042050,23.02254445634020,0.08703757,DR3,-8.454343971871110,0.06635485,-66.21574271681210,0.0697006,DR3,,,n/a,4.7428675,0.8210167288780210,1160.6719970703100,1.3660464,1,0,NOT_AVAILABLE,,,,,619,618,0.012197233736515000,0,false,12.1525,0.0029,11.0582,0.0028,10.0139,0.0038,8.662,0.021,8.055,0.049,7.817,0.023,AAA,7.720,0.027,7.668,0.020,7.593,0.019,7.509,0.157,AAAB
180,0,Ross 10,63,J01383+572,01:38:21.23,+57:13:51.4,M2.5 V,72.5,Rei95,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.3236,0.0139,0.3295,0.0097,This work,0.0130697970,0.0000587569,This work,10.2979,0.0029,3400,50,This work,5.00,0.25,,n/a,,,,,,,,,false,false,false,false,false,false,0,,false,409824168780424832,01382162+5713571,J013821.37+571353.4,24.588466983866200,0.01029511820524930,57.23095397492770,0.015029869973659500,75.88558947033210,0.021603774,DR3,-194.9316542782590,0.013856213,-347.11029477420200,0.014629321,DR3,-17.724129,0.16269529,DR3,1.1373943,0.16469787061214400,59.60674285888670,1.4153941,0,0,VARIABLE,0.93763554,2.1002522,30,-4.369129,809,800,0.01894315704703330,2,false,12.2141,0.0029,10.8971,0.0028,9.7598,0.0038,8.233,0.018,7.675,0.034,7.436,0.018,AAA,7.047,0.037,7.093,0.020,7.009,0.018,6.824,0.093,AAAA
181,0,GJ 3103,3103,J01384+006,01:38:30.49,+00:39:08.4,M2.0 V,72.0,Rei95,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.4864,0.0296,0.4723,0.0133,This work,0.0359014050,0.0001632209,This work,9.0659,0.0031,3500,50,This work,5.50,0.25,-0.06,Kuz19,,,,,,,,,false,false,false,false,false,false,0,,false,2510475768254568832,01382998+0039059,J013830.31+003907.4,24.627058042570400,0.02271931804716590,0.6523247135337050,0.015142341144383000,48.21631905701090,0.030731944,DR3,518.0912990875390,0.030520586,165.694147061424,0.017330084,DR3,-0.03402388,0.16280912,DR3,1.2739668,0.1423841118812560,25.809768676757800,1.3819417,0,0,NOT_AVAILABLE,0.9245382,1.3947849,19,-2.5836213,300,299,0.007085558492690330,0,false,11.8261,0.0030,10.6499,0.0028,9.5715,0.0038,8.189,0.023,7.610,0.020,7.324,0.021,AAA,7.104,0.049,7.099,0.019,7.028,0.017,6.967,0.093,AAAA
182,48,BL Cet,65 A,J01390-179,01:39:05.17,-17:56:53.9,M5.0 V,75.0,Alo15a,Multiple,Double,A,AB,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.1291,0.0435,0.1389,0.0195,This work,,,n/a,13.3350,0.0053,,,n/a,,,,n/a,,,,,,,,,true,false,false,false,false,false,0,,false,5140693571158739840,01390120-1757026,J013903.94-175655.8,24.771554293454500,0.42790400981903100,-17.948299887129300,0.3382859230041500,367.71189618147700,0.74180114,DR3,3385.315810465070,0.67216444,544.3863845619520,0.3787539,DR3,21.458223,0.7900771,DR3,12.367461,4.838809967041020,23102.453125,1.6715958,29,15,NOT_AVAILABLE,,,7,,363,363,0.02732103317976000,9,false,12.8206,0.0062,10.5075,0.0029,9.0677,0.0130,6.283,0.019,5.690,0.029,5.343,0.021,AAA,5.115,0.231,4.697,0.127,4.766,0.015,4.608,0.027,BBAA
183,48,UV Cet,65 B,,01:39:05.20,-17:56:51.7,M6.0 V,76.0,Kir91,Multiple,Double,B,,,,LDS 838,,,0,,2,,01388-1758,,1935,2020,118,338.20,1.912,12.7,13.2,6.0425,2.2589,10.47,,,,,0.0651,1.2761,0.0167,0.1180,0.0448,0.1267,0.0201,This work,,,n/a,13.6813,0.0045,,,n/a,,,,n/a,0.9140,,,,29.88,3.78,4.447E+36,2.258E+36,true,false,false,false,false,false,0,,false,5140693571158946048,,,24.771674208211900,0.3353268802165990,-17.947682860008500,0.2819521725177770,373.8443122683990,0.50087124,DR3,3178.6942575749000,0.42692018,584.0613350385160,0.30229247,DR3,10.249533,3.2381904,DR3,10.453167,3.8557586669921900,15330.3916015625,1.5971872,10,11,NOT_AVAILABLE,,,4,,351,351,0.0290753822773695,10,false,13.2522,0.0104,10.8178,0.0034,9.4237,0.0158,,,,,,,,,,,,,,,,
184,49,GJ 3104,3104,J01395+050,01:39:31.32,+05:03:20.3,M3.0 V,73.0,Rei95,Multiple,Double,AB,(AB),,,JOD 2,,,0,,2,,01395+0503,,2008,2008,1,209.00,0.271,13.1,14.4,11.5823,0.271,209.00,,,,,,,,,,,,n/a,,,n/a,9.0349,0.0391,,,n/a,,,-0.20,Jen09,,,,,,,,,false,false,false,false,true,false,0,,false,2561679986105169536,01393118+0503180,J013931.26+050319.4,24.88049439674050,8.807470321655270,5.0556274602264200,4.84649658203125,23.397803475228100,0.39656779166090300,DR2,119.22210544598700,1.0915863467696300,144.45371424594600,0.43152625775783300,DR2,,,n/a,,51.38951110839840,2848585.0,2.0750837,46,46,NOT_AVAILABLE,,,,,378,378,0.3383457660675050,67,false,13.0995,0.0032,12.1890,0.0131,10.6347,0.0039,9.141,0.024,8.516,0.040,8.284,0.019,AAA,8.105,0.024,7.990,0.020,7.920,0.020,7.733,0.175,AAAB
185,0,GJ 3105,3105,J01402+317,01:40:17.16,+31:47:30.4,M4.0 V,74.0,Rei95,Candidate,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.3754,0.0163,0.3785,0.0122,This work,0.0135344010,0.0002274374,This work,10.5716,0.0146,3200,50,This work,4.00,0.25,0.25,Ter15a,,,,,,,,,true,false,false,false,false,false,0,,true,303876117377381376,01401649+3147306,J014016.96+314730.4,25.071498884192600,0.19782672822475400,31.791778283247200,0.19590269029140500,41.54793724186310,0.27401465,DR3,465.51862079529300,0.2689177,-10.679038771643700,0.21981531,DR3,-13.800667,1.480084,DR3,10.064356,1.609171748161320,2481.899169921880,1.4935198,0,0,NOT_AVAILABLE,0.22701953,7.722474,11,2.9797308,181,181,0.019217364490032200,0,false,14.1509,0.0041,12.4789,0.0030,11.2232,0.0040,9.437,0.022,8.833,0.024,8.566,0.018,AAA,8.394,0.024,8.232,0.020,8.079,0.021,7.970,0.156,AAAB
186,50,RX J0143.1+2101,,J01431+210,01:43:11.75,+21:01:10.4,M4.0 V,74.0,Alo15a,Multiple,Double,AB,(AB),,,JNN 251,,,0,,2,,01431+2101,,2012,2012,1,325.80,0.355,13.75,15,13.6346,0.355,325.80,,,,,,,,,,,,n/a,,,n/a,9.6858,0.0107,,,n/a,,,0.33,Ter15a,,,,,,,,,true,false,false,false,true,false,0,,false,96530321986314624,01431186+2101106,J014311.78+210110.5,25.798963160992800,0.10362982004880900,21.019550800136300,0.0913093164563179,26.03668921367550,0.12276014,DR3,-95.13222294203860,0.15763384,-15.255252217397700,0.10552915,DR3,-43.998,6.96,Ter15a,2.3948658,0.8587297797203060,554.2747802734380,1.9915706,1,0,NOT_AVAILABLE,,,,,183,178,0.025905314832925800,99,false,13.9696,0.0068,12.6079,0.0030,11.0396,0.0042,9.249,0.022,8.631,0.021,8.359,0.023,AAA,8.226,0.023,8.055,0.020,7.935,0.019,7.918,0.164,AAAB
187,0,GJ 3108,3108,J01432+278,01:43:16.64,+27:50:31.1,M0.0 V,70.0,Rei95,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.6481,0.0266,0.6166,0.0120,This work,0.0842502200,0.0004112161,This work,7.9417,0.0030,3800,50,This work,5.00,0.25,,n/a,,,,,,,,,false,false,false,false,false,false,0,,false,301785537751949824,01431592+2750315,J014316.42+275031.1,25.8193232578451,0.016607346013188400,27.841965507046500,0.017755648121237800,45.423858575128800,0.01962417,DR3,550.8844648256100,0.025373258,-31.89538549443340,0.023721945,DR3,-5.4670332,0.4134029,DR2,1.3827711,0.12863671779632600,21.394983291626000,1.3240706,0,0,NOT_AVAILABLE,,,,,213,211,0.046605344861745800,0,false,10.6126,0.0031,9.6553,0.0028,8.6904,0.0039,7.483,0.035,6.811,0.021,6.598,0.016,AAA,6.529,0.076,6.522,0.027,6.485,0.015,6.430,0.054,AAAA
188,0,GJ 70,70,J01433+043,01:43:19.73,+04:19:05.7,M2.0 V,72.0,Rei95,Single,,-,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,0.3952,0.0114,0.3973,0.0049,This work,0.0225817990,0.0001215383,This work,9.6374,0.0029,3547,20,Marf21,4.50,0.25,-0.09,Marf21,,,,,,,,,false,false,false,false,false,false,0,,false,2560771312759450496,01432015+0419172,J014319.89+041910.0,25.832196670357800,0.020585346966981900,4.318255356429920,0.017423760145902600,88.30597070744220,0.023291193,DR3,-422.4133313786970,0.031240918,-765.0324158439890,0.022788767,DR3,-26.373852,0.16751416,DR3,1.0700988,0.14301781356334700,20.536434173584000,1.3992866,1,0,NOT_AVAILABLE,0.23755051,1.3856583,16,-1.1725149,201,199,0.010409288108348800,0,false,11.1578,0.0034,9.9074,0.0028,8.7974,0.0039,7.370,0.024,6.809,0.042,6.516,0.023,AAA,6.371,0.073,6.190,0.032,6.197,0.014,6.051,0.043,AAAA
189,51,PM J01437-0602,,J01437-060,01:43:45.20,-06:02:40.6,M3.5 V,73.5,Ria06,Multiple,Double,Aab,Aab,SB2,Fou18,Fou18,,,0,,1,,,,,,,,,,,,,,n/a,,,,,,,,,,,n/a,,,n/a,10.0069,0.0034,,,n/a,,,,n/a,,,,n/a,,,,,false,false,true,false,false,false,0,,false,2479453696216295296,01434512-0602400,J014345.17-060240.5,25.938336565497700,0.0333981066942215,-6.044620735641340,0.030208801850676500,46.70461093930300,0.043187723,DR3,51.90622024329660,0.052354664,-26.72711926015220,0.03736734,DR3,14.736467,1.9812928,DR3,1.6315837,0.3105292320251470,135.62928771972700,1.46374,0,0,NOT_AVAILABLE,0.0,40.828712,23,10.8863125,350,349,0.00647089583799243,1,false,13.2033,0.0038,11.6601,0.0028,10.4453,0.0041,8.770,0.023,8.174,0.034,7.912,0.018,AAA,7.748,0.026,7.589,0.020,7.481,0.017,7.350,0.132,AAAB
190,0,Wolf 1530,73,J01449+163,01:44:57.63,+16:20:32.5,M4.0 V,74.0,Rei95,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.2258,0.0116,0.2367,0.0074,This work,0.0052941767,0.0000243270,This work,11.5858,0.0032,3200,50,This work,4.00,0.25,0.15,New14,,,,,,,,,false,false,false,false,false,false,0,,false,91289568531757184,01445851+1620396,J014457.90+162034.8,26.24011778622650,0.03375605493783950,16.342362643529000,0.02670479752123360,61.67483215879830,0.039622404,DR3,-738.4629577537610,0.047791705,-420.70258580315300,0.033828575,DR3,-42.176807,0.70837444,DR3,1.4429072,0.2213773876428600,36.1058349609375,1.4837959,0,1,NOT_AVAILABLE,0.9759115,2.7933693,12,-2.3750856,159,156,0.021700497716665300,0,false,14.3423,0.0034,12.6353,0.0029,11.3835,0.0040,9.584,0.020,9.012,0.021,8.709,0.021,AAA,8.540,0.022,8.375,0.019,8.234,0.022,7.886,0.147,AAAB
191,52,GJ 3113,3113,J01466-086,01:46:37.29,-08:39:00.5,M4.0 V,74.0,Rei95,Multiple,Double,AB,(AB),,,JOD 3,,,0,,2,JOD 3 refers to the SB1 (Jef18),01466-0839,,2008,2020,4,5.30,0.182,13.3,14.6,4.6543,0.182,5.30,,,,,,,,,,,,n/a,,,n/a,9.8800,0.0590,,,n/a,,,,n/a,,,,,,,,,false,false,true,true,true,false,0,,false,2464581328276877056,01463681-0838578,J014637.13-083859.6,26.655360307333100,1.1053484678268400,-8.650150562965850,0.7741478681564330,39.10330564473820,1.0459880367660100,DR2,412.8398083304620,1.8361634316906800,-182.42383432078000,1.828240643387880,DR2,54.033623,11.990449,DR3,,9.221343040466310,49675.22265625,1.7695204,0,0,NOT_AVAILABLE,0.0,121.26048,15,44.67833,291,268,0.19745421409606900,59,false,13.2365,0.0043,11.9189,0.0103,10.5008,0.0048,8.832,0.021,8.237,0.023,7.994,0.026,AAA,7.832,0.024,7.680,0.020,7.575,0.019,7.418,0.101,AAAA
192,53,G 173-18,,J01453+465,01:45:18.81,+46:32:11.3,M2.0 V,72.0,Lep13,Multiple,Double,Aab,Aab,SB2,Giz02/Shk10,Giz02,,,0,,1,,,,,,,,,,,0.56,,,Shk10,,,,,,,,,,,n/a,,,n/a,8.5309,0.0031,,,n/a,,,,n/a,,<157.9,,Shk10,,,,,false,false,false,false,false,false,0,,false,351045720262686080,01451820+4632077,J014518.60+463210.0,26.32838781494810,0.021433571353554700,46.53647456761720,0.017370373010635400,39.424344317617600,0.02406444,DR3,387.6197191553860,0.023199068,217.23337641869900,0.019789489,DR3,17.85,0.69,Shk10,1.3916334,0.1675962656736370,37.69749450683590,1.3900577,0,0,NOT_AVAILABLE,,,,,260,259,0.032792359590530400,0,false,11.7624,0.0043,10.5521,0.0028,9.4588,0.0040,8.058,0.041,7.423,0.023,7.197,0.023,AAA,7.031,0.052,6.926,0.020,6.857,0.015,6.720,0.059,AAAA
193,0,Wolf 87,3114,J01480+212,01:48:04.37,+21:12:20.8,M2.5 V,72.5,Rei95,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.4132,0.0166,0.4144,0.0123,This work,0.0206728150,0.0001428546,This work,9.7595,0.0032,3400,50,This work,5.50,0.25,-0.06,Gai14b,,,,,,,,,false,false,false,false,false,false,0,,false,97993497084921984,01480397+2112243,J014804.23+211221.9,27.018206566175000,0.03237814083695410,21.205767467992100,0.02454552613198760,53.733743433108100,0.03615083,DR3,346.43849534019900,0.034888852,-218.38172989300600,0.031453732,DR3,-20.021069,0.3559914,DR3,1.4426987,0.21112297475338000,56.567291259765600,1.4048905,0,0,NOT_AVAILABLE,0.033231307,3.583622,13,-0.0034340243,174,174,0.010934731923043700,0,false,12.3951,0.0031,11.1083,0.0028,9.9862,0.0039,8.514,0.035,7.895,0.044,7.644,0.021,AAA,7.466,0.031,7.394,0.019,7.305,0.018,7.076,0.091,AAAA
194,0,GJ 3119,3119,J01510-061,01:51:04.69,-06:07:09.3,M4.5 V,74.5,Rei95,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.1724,0.0105,0.1862,0.0062,This work,0.0025288502,0.0000115713,This work,12.5834,0.0031,3000,50,This work,4.50,0.25,-0.07,Kuz19,,,,,,,,,false,false,false,false,false,false,0,,false,2467732906559754496,01510405-0607047,J015104.48-060707.8,27.769525129441800,0.03770963475108150,-6.119239184112930,0.02975284494459630,94.71129648160510,0.049404897,DR3,545.4238299061600,0.047706023,-266.53076679862500,0.035642188,DR3,4.478481,0.7657624,DR3,1.533364,0.36098232865333600,148.90615844726600,1.5349792,5,0,NOT_AVAILABLE,2.1488401E-07,12.712789,29,1.3145292,415,415,0.0038016638718545400,2,false,14.7266,0.0039,12.7014,0.0029,11.3791,0.0039,9.413,0.021,8.841,0.021,8.552,0.022,AAA,8.336,0.023,8.110,0.020,7.941,0.022,7.571,0.143,AAAB
195,0,Wolf 90,3120,J01514+213,01:51:24.17,+21:23:33.9,M4.0 V,74.0,Rei95,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.2457,0.0122,0.2556,0.0080,This work,0.0061733183,0.0000325998,This work,11.3523,0.0033,3200,50,This work,4.50,0.25,0.17,Ter15a,,,,,,,,,false,false,false,false,false,false,0,,false,97334889619799168,01512417+2123399,J015124.16+212335.8,27.85070481391560,0.03533950075507160,21.39275062405240,0.029939310625195500,59.114698701370500,0.040357795,DR3,-3.4810741131355600,0.05099306,-347.5345078314370,0.039586324,DR3,-9.758129,1.017392,DR3,1.759771,0.24697892367839800,69.64212036132810,1.4771835,1,0,NOT_AVAILABLE,0.019155374,9.689962,13,1.8411945,147,147,0.023736802861094500,1,false,14.1503,0.0040,12.4938,0.0029,11.2534,0.0039,9.489,0.022,8.907,0.027,8.644,0.019,AAA,8.443,0.023,8.272,0.020,8.147,0.021,7.876,0.145,AAAB
196,54,GJ 3118,3118,,01:51:51.69,+64:25:49.3,DA5.6,0.0,Gia11,Multiple,Double,A,AB,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.6570,0.0120,,,MWDD,0.0007762471,,MWDD,12.7570,0.0029,8794,,MWDD,,,,n/a,,,,,,,,,false,false,false,false,false,false,0,,false,518201792978858880,,J015151.21+642549.1,27.965393161643800,0.010109667666256400,64.43036727635180,0.010973198339343100,57.79924585467080,0.015964454,DR3,224.80621163547000,0.012479059,-201.57519884228500,0.012927443,DR3,14.3,7.5,Giz02,1.0220431,0.042183768004179,1.267082691192630,1.1602788,0,0,NOT_AVAILABLE,,,,,535,532,0.0319332517683506,0,false,14.0417,0.0029,13.9474,0.0028,13.7706,0.0039,,,,,,,,12.743,0.041,12.529,0.043,10.895,0.175,8.197,0.216,AABB
197,54,GJ 3117,3117,J01518+644,01:51:51.72,+64:26:02.8,M2.5 V,72.5,Rei95,Multiple,Double,B,,,,GIC 27,,,0,,1,,01519+6426,,1968,2016,21,180.70,13.504,11.65,14.00,233.6274,13.5035,0.71,,,,,0.0495,2.6880,0.0004,0.4669,0.1190,0.4652,0.1123,This work,0.0336686040,0.0162311660,This work,9.2193,0.0029,3625,21,Marf21,4.50,0.25,-0.01,Marf21,,,,,3368,179,2.316E+36,5.919E+35,false,false,false,false,false,false,0,,false,518201792978856960,01515108+6426060,J015151.50+642603.9,27.965500107121500,0.00990042369812727,64.43411796149830,0.01140387263149020,57.82485245468830,0.016113421,DR3,237.44135897583200,0.012134007,-193.60692747819800,0.013769909,DR3,-13.223567,0.16622956,DR3,1.0380946,0.12741711735725400,24.90979766845700,1.3975555,0,0,NOT_AVAILABLE,0.19498025,1.9593487,25,-1.1692144,591,584,0.0043978141620755200,0,false,11.6437,0.0029,10.4087,0.0028,9.3033,0.0038,7.838,0.021,7.250,0.023,6.937,9.995,AAF,6.838,0.064,6.754,0.022,6.685,0.016,6.487,0.068,AAAA
198,0,Ross 555,78,J01518-108,01:51:49.30,-10:48:21.1,M2.0 V,72.0,Rei95,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.3825,0.0154,0.3853,0.0110,This work,0.0200697070,0.0000863220,This work,9.6891,0.0030,3500,50,This work,5.50,0.25,-0.16,Kuz19,,,,,,,,,false,false,false,false,false,false,0,,false,2460983348274381696,01514865-1048120,J015149.09-104818.2,27.955434457117200,0.023905927315354300,-10.80586697964620,0.0164035577327013,58.2409207733023,0.027337851,DR3,568.6177622079100,0.030562798,-539.3835152227970,0.01960143,DR3,-10.337095,0.2018953,DR3,1.2623228,0.17093686759471900,36.151817321777300,1.3890563,0,0,NOT_AVAILABLE,0.55239844,2.0188465,18,-2.4860594,308,307,0.019258033484220500,0,false,12.0438,0.0030,10.8630,0.0028,9.7769,0.0038,8.375,0.023,7.849,0.023,7.631,0.029,AAA,7.463,0.032,7.321,0.019,7.270,0.016,7.152,0.105,AAAA
199,55,BD-21 332,,J01531-210,01:53:11.67,-21:05:42.2,M2.0 V,72.0,Tor06,Multiple,Double,Aab,Aab,SB2,Shk10,Shk10,,,0,,1,,,,,,,,,,,0.04,,,Shk10,,,,,,,,,,,n/a,,,n/a,7.9575,0.0033,,,n/a,,,-0.01,Gai14b,,<2.9,,Shk10,,,,,false,false,false,false,false,false,0,,false,5135908840152003584,01531133-2105433,J015311.56-210542.5,28.298623692591200,0.015698645263910300,-21.095048548189800,0.01359863206744190,31.20777643127030,0.023540912,DR3,272.6701365122980,0.019806806,71.91351070366420,0.015321675,DR3,14.48,0.51,Shk10,1.244865,0.14614522457122800,24.626861572265600,1.3735918,48,48,NOT_AVAILABLE,,,,,358,355,0.009814286604523660,0,false,11.6260,0.0040,10.4862,0.0029,9.4239,0.0041,8.066,0.019,7.418,0.051,7.141,0.021,AAA,6.945,0.054,6.961,0.020,6.889,0.016,6.677,0.086,AAAA
200,56,PM J01538-1459A,,J01538-149,01:53:50.97,-14:59:51.5,M3.0 V,73.0,Ria06,Multiple,Double,A,AB,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.5159,0.0290,0.4988,0.0130,This work,,,n/a,8.8449,0.0045,,,n/a,,,,n/a,,,,,,,,,false,false,false,false,false,false,0,,false,5143033331902438656,01535076-1459503,J015350.82-145950.8,28.462386884794700,0.031235694885253900,-14.997647442073000,0.02542000450193880,29.640361971431300,0.044067886,DR3,106.72245261895700,0.04084296,-40.59758296379960,0.03329506,DR3,,,n/a,1.3624991,0.25149470567703200,60.146915435791000,1.4712198,1,1,NOT_AVAILABLE,,,,,250,249,0.02069605328142640,1,false,12.9121,0.0081,11.4855,0.0031,10.2811,0.0055,7.938,0.027,7.297,0.031,7.073,0.020,AAA,6.786,0.033,6.723,0.021,6.671,0.015,6.589,0.054,AAAA
201,56,PM J01538-1459B,,,01:53:50.79,-14:59:50.5,M1.5 V,71.5,This work,Multiple,Double,B,,,,BRG 7,,,0,,2,,01538-1500,,1995,2016,8,291.30,2.854,12.7,12.7,96.5614,2.8539,291.36,,,,,0.0419,2.3433,0.0029,0.5119,0.0291,0.4951,0.0131,This work,,,n/a,8.8748,0.0046,,,n/a,,,,n/a,0.9922,,,,936.0,18.7,4.825E+36,3.857E+35,false,false,false,false,false,false,0,,false,5143033331901973888,,,28.461622561009200,0.03508707135915760,-14.997358693239800,0.02758006751537320,29.55512042887700,0.044690367,DR3,106.03108314422100,0.04682649,-45.379950632992400,0.032334037,DR3,10.827594,1.3499006,DR3,1.3844793,0.29241302609443700,81.50365447998050,1.4612479,0,3,NOT_AVAILABLE,6.280493E-06,11.349604,12,2.9112585,259,256,0.018562672659754800,0,false,12.9688,0.0079,11.5216,0.0032,10.3226,0.0060,,,,,,,,,,,,,,,,
202,57,1RXS J015426.6+574136,,J01544+576,01:54:28.04,+57:41:27.7,M3.5 V,73.5,Lep13,Multiple,Double,A,A+B,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.4917,0.0194,0.4887,0.0149,This work,0.0255195370,0.0001760267,This work,9.7297,0.0031,3300,50,This work,4.50,0.25,,n/a,,,,,,,,,false,false,false,false,false,false,0,,false,506105202278213248,01542806+5741310,J015428.05+574128.8,28.61682083037450,0.015663081780076000,57.691033162185700,0.018240289762616200,44.86317648303880,0.028984297,DR3,-25.18220145554270,0.024258789,-197.60444608722100,0.027873216,DR3,,,n/a,1.5408047,0.26270490884780900,142.63282775878900,1.4581243,67,66,NOT_AVAILABLE,,,,,631,627,0.002934903372079130,1,false,12.9549,0.0031,11.4702,0.0028,10.2683,0.0038,8.525,0.024,8.005,0.047,7.736,0.023,AAA,7.569,0.027,7.404,0.019,7.317,0.016,7.165,0.101,AAAA
